id,field_legacy_id,blog_name,source_type,source_term,rename_term,ignore_term,person,movie,tv,book,music,stage,web_series,video_game,taxonomy_genre,taxonomy_ew_franchise,taxonomy_franchise,taxonomy_event,taxonomy_freeform,taxonomy_category
9696,musicmix_1457058,musicmix,tag,"Fake Plastic Trees",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38716,insidetv_1095746,insidetv,tag,"Faking It",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4209,popwatch_1095746,popwatch,tag,"Faking It",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4210,popwatch_1766819,popwatch,tag,"Falcon Crest",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11535,insidetv_34362611,insidetv,tag,"Fall 2010 Development",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40903,insidemovies_34362611,insidemovies,tag,"Fall 2010 Development",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4211,popwatch_42918511,popwatch,tag,"Fall 2010 TV recaps",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35643,popstyle_8135366,popstyle,tag,"Fall Movie Preview",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4212,popwatch_8135366,popwatch,tag,"Fall Movie Preview",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40904,insidemovies_8135366,insidemovies,tag,"Fall Movie Preview",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4213,popwatch_2772662,popwatch,tag,"Fall Movies",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40905,insidemovies_2772662,insidemovies,tag,"Fall Movies",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4214,popwatch_10407804,popwatch,tag,"Fall Music",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37323,musicmix_10407804,musicmix,tag,"Fall Music",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1531,shelflife_186151981,shelflife,tag,"Fall of Five",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36421,newsbriefs_220855,newsbriefs,tag,"Fall Out Boy",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4215,popwatch_220855,popwatch,tag,"Fall Out Boy",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37324,musicmix_220855,musicmix,tag,"Fall Out Boy",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4216,popwatch_1689371,popwatch,tag,"Fall Preview",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38717,insidetv_239771,insidetv,tag,"Fall TV",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4217,popwatch_239771,popwatch,tag,"Fall TV",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
